days_for_graph,month,day,hour,sd_obs,sd_calc,nsr_ice,nlr_ice,sh_ice,lh_ice,melt_ice,nsr_cryo,nlr_cryo,sh_cryo,lh_cryo,melt_cryo,cryo_angle,solar_angle,d_nsr,d_nlr,d_sh,d_lh,d_melt,cryoconite_depth,sr,sr_direct,sr_diffuse,src_direct,src_diffuse,t_direct,t_diffuse,k_direct,k_diffuse
   197.000000     ,           7 ,          16 ,           1 ,  -8.00000057E-02 ,   0.00000000     ,   72.5951996     ,  -59.8900146     ,   50.8164139     ,  -9.43832684     ,   0.00000000     ,   45.3830070     ,  -1.70480347     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.41480851     ,  -27.2121925     ,   58.1852112     ,  -50.8164139     ,   9.43832684     ,   0.00000000     ,   111.000000     ,   95.5199966     ,   19.7523384     ,   75.7676620     ,   8.31105137     ,   42.1145134     ,  0.420762897     ,  0.542823851     ,   1.21534228     ,   5.55025101    
   197.041672     ,           7 ,          16 ,           2 ,  -7.00000003E-02 ,   0.00000000     ,   47.5000000     ,  -68.3799896     ,   45.1692924     ,  -7.34768152     ,   0.00000000     ,   29.2333412     ,  -1.94644165     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.39505339     ,  -18.2666588     ,   66.4335480     ,  -45.1692924     ,   7.34768152     ,   0.00000000     ,   111.000000     ,   62.5000000     ,   16.2928810     ,   46.2071190     ,   7.10902357     ,   25.3724670     ,  0.436326981     ,  0.535891891     ,   1.31134486     ,   5.67456150    
   197.083328     ,           7 ,          16 ,           3 ,  -7.00000003E-02 ,   0.00000000     ,   81.1072006     ,  -69.7499847     ,   50.0733795     ,  -9.20226383     ,   0.00000000     ,   50.0411835     ,  -1.98544312     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.36348069     ,  -31.0660172     ,   67.7645416     ,  -50.0733795     ,   9.20226383     ,   0.00000000     ,   111.000000     ,   106.720001     ,   30.8527584     ,   75.8672409     ,   14.2117453     ,   41.3895721     ,  0.460631281     ,  0.532237530     ,   1.44370008     ,   5.74009418    
   197.125000     ,           7 ,          16 ,           4 ,  -7.00000003E-02 ,   0.00000000     ,   86.4841995     ,  -68.3600006     ,   51.9558182     ,  -10.9398890     ,   0.00000000     ,   53.8986359     ,  -1.94589233     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.32201183     ,  -32.5855637     ,   66.4141083     ,  -51.9558182     ,   10.9398890     ,   0.00000000     ,   111.000000     ,   113.794998     ,   34.9002876     ,   78.8947144     ,   17.0196037     ,   42.8677711     ,  0.487663686     ,  0.529974699     ,   1.60069740     ,   5.78067398    
   197.166672     ,           7 ,          16 ,           5 ,  -5.99999949E-02 ,   0.00000000     ,   89.6191940     ,  -64.6999969     ,   43.9212723     ,  -5.55150652     ,   0.00000000     ,   56.5317917     ,  -1.84173584     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.27315736     ,  -33.0874023     ,   62.8582611     ,  -43.9212723     ,   5.55150652     ,   0.00000000     ,   111.000000     ,   117.919998     ,   37.7557030     ,   80.1642990     ,   19.3905811     ,   43.4225197     ,  0.513580203     ,  0.528240204     ,   1.76973057     ,   5.81177807    
   197.208328     ,           7 ,          16 ,           6 ,  -7.00000003E-02 ,   0.00000000     ,   125.468399     ,  -55.1100006     ,   53.4421501     ,  -11.0949984     ,   0.00000000     ,   80.7521439     ,  -1.56872559     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.21989799     ,  -44.7162552     ,   53.5412750     ,  -53.4421501     ,   11.0949984     ,   0.00000000     ,   111.000000     ,   165.089996     ,   48.5280685     ,   116.561928     ,   26.2045746     ,   63.5200348     ,  0.539987981     ,  0.531613827     ,   1.91828299     ,   5.75127840    
   197.250000     ,           7 ,          16 ,           7 ,  -7.00000003E-02 ,   0.00000000     ,   129.952408     ,  -58.7800140     ,   47.9764366     ,  -14.5326614     ,   0.00000000     ,   84.0273514     ,  -1.67318726     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.16557813     ,  -45.9250565     ,   57.1068268     ,  -47.9764366     ,   14.5326614     ,   0.00000000     ,   111.000000     ,   170.990005     ,   56.0993500     ,   114.890656     ,   31.2444878     ,   62.1192322     ,  0.556949198     ,  0.527223527     ,   2.09058762     ,   5.83000946    
   197.291672     ,           7 ,          16 ,           8 ,  -8.00000057E-02 ,   0.00000000     ,   185.516006     ,  -61.5400085     ,   62.6056519     ,  -21.7210960     ,   0.00000000     ,   120.592705     ,  -1.75177002     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.11379719     ,  -64.9233017     ,   59.7882385     ,  -62.6056519     ,   21.7210960     ,   0.00000000     ,   111.000000     ,   244.100006     ,   87.1999207     ,   156.900085     ,   49.7303200     ,   84.2615814     ,  0.570302367     ,  0.523475230     ,   2.24611354     ,   5.89722824    
   197.333328     ,           7 ,          16 ,           9 ,  -7.00000003E-02 ,   0.00000000     ,   196.270004     ,  -69.6099854     ,   46.9033356     ,  -15.9122496     ,   0.00000000     ,   127.856575     ,  -1.98147583     ,   0.00000000     ,  -0.00000000     ,   0.00000000     ,  0.169528216     ,   1.06826043     ,  -68.4134293     ,   67.6285095     ,  -46.9033356     ,   15.9122496     ,   0.00000000     ,   111.000000     ,   258.250000     ,   104.370522     ,   153.879471     ,   60.3255348     ,   81.7373352     ,  0.577993989     ,  0.517441392     ,   2.39407539     ,   6.00543213    
   197.375000     ,           7 ,          16 ,          10 ,  -7.00000003E-02 ,   2.37914408E-03 ,   261.698395     ,  -73.4000092     ,   17.9511547     ,  -7.82894087     ,   198.420609     ,   171.195145     ,  -2.08935547     ,   0.00000000     ,  -0.00000000     ,   169.105789     ,  0.169528216     ,   1.03253555     ,  -90.5032501     ,   71.3106537     ,  -17.9511547     ,   7.82894087     ,  -29.3148193     ,   110.648506     ,   344.339996     ,   145.976852     ,   198.363144     ,   85.3411942     ,   104.875641     ,  0.584621429     ,  0.514896572     ,   2.49548769     ,   6.05106831    
